profit_center_name,profit_center_number,producer_agency_name,insurance_company_name,premium,policy_number,accounting_effective_date,commission_pct
South Zone PC,1005,Pinnacle Agency Partners,National Indemnity Co,15109.2,POL-200001,2026-01-01,11.06
West Zone PC,1012,Apex Insurance Brokers,Heritage Casualty Co,35586.47,POL-200002,2026-01-08,17.96
South Zone PC,1093,Metro Agency Group,Global Assurance Corp,37066.89,POL-200003,2026-01-15,5.98
West Zone PC,1040,Coastal Risk Advisors,Global Assurance Corp,34420.75,POL-200004,2026-01-22,18.13
East Zone PC,1049,Sunrise Producers LLC,Heritage Casualty Co,42775.85,POL-200005,2026-01-29,8.15
Central PC,1083,Pinnacle Agency Partners,Zenith Insurance Group,11316.22,POL-200006,2026-02-05,5.14
East Zone PC,1008,Coastal Risk Advisors,Heritage Casualty Co,5683.75,POL-200007,2026-02-12,11.61
Central PC,1029,Apex Insurance Brokers,National Indemnity Co,20100.12,POL-200008,2026-02-19,14.26
Central PC,1059,Metro Agency Group,Liberty Mutual,40876.63,POL-200009,2026-02-26,13.17
East Zone PC,1034,Metro Agency Group,Heritage Casualty Co,43813.91,POL-200010,2026-03-05,11.25
